clade_name	Home.1.day.1	Home.1.day.2	Home.1.day.3	Home.1.day.4	Home.1.day.5	Home.1.day.6	Home.1.day.7	Home.8.day.1	Home.8.day.2	Home.8.day.3	Home.8.day.4	Home.8.day.5	Home.8.day.6	Home.8.day.7	Home.3.day.1	Home.3.day.2	Home.3.day.3	Home.3.day.4	Home.3.day.5	Home.3.day.6	Home.3.day.7	Home.4.day.1	Home.4.day.2	Home.4.day.3	Home.4.day.4	Home.4.day.5	Home.4.day.6	Home.4.day.7	Home.6.day.1	Home.6.day.2	Home.6.day.3	Home.6.day.4	Home.6.day.5	Home.6.day.6	Home.6.day.7	Home.2.day.1	Home.2.day.2	Home.2.day.3	Home.2.day.4	Home.2.day.5	Home.2.day.6	Home.2.day.7	Home.7.day.1	Home.7.day.2	Home.7.day.3	Home.7.day.4	Home.7.day.5	Home.7.day.6	Home.7.day.7	Home.5.day.1	Home.5.day.2	Home.5.day.3	Home.5.day.4	Home.5.day.5	Home.5.day.6	Home.5.day.7
k__Bacteria|p__Bacteroidota|c__CFGB462	0.51072	0.56889	0.42361	0.52956	0.82306	0.69594	0.94001	0.501	1.22936	1.25582	1.36297	1.57943	1.6248	1.81538	1.24062	1.11651	0.82804	0.5672	0.60324	0.67374	0.91392	0.30121	0.24898	0.17459	0.16999	0.18861	0.25647	0.43851	0.41454	0.68921	0.77127	0.83331	0.86466	0.75252	0.55972	0.63099	0.57563	0.60749	0.74502	0.87376	0.94033	1.00506	0.69473	0.42669	0.43769	0.31249	0.48432	0.5065	0.26762	1.39983	1.88719	1.58853	1.67359	1.70366	1.66666	2.0684
k__Bacteria|p__Actinobacteria|c__CFGB36511	0.3769	0.48003	0.32355	0.31606	0.57262	0.15603	0.20384	0.34988	0.99231	0.82871	0.90859	0.84619	0.78734	0.57437	4.07467	2.69616	1.95719	1.46755	1.14453	1.20537	1.14472	2.80059	2.87403	1.51728	0.95039	1.3155	0.94349	1.67748	1.09909	1.18941	1.46559	1.13926	1.18263	4.71026	0.89983	0.34358	0.36708	0.28412	0.30747	0.21826	0.23383	0.16567	5.56485	4.22704	2.25563	2.09655	1.40685	1.35269	1.2463	1.14053	1.23762	0.94798	1.05465	1.06845	0.67732	0.75092
k__Bacteria|p__Acidobacteria|c__CFGB73383	0.30036	0.42288	0.26673	0.27429	0.46224	0.31815	0.18645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27298	0.34554	0.35508	0.29511	0.22775	0.22553	0.19319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.04804	0.01093	0.02259	0	0.00045	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	0.25263	0.35037	0.21872	0.20724	0.37592	0.36971	0.32001	0.14826	0.32911	0.29722	0.33885	0.46883	0.52999	0.43474	0.06324	0.06091	0.04823	0.05191	0.06015	0.05488	0.07486	0.00951	0.00593	0.01151	0.01056	0.01749	0.02467	0.02641	0.12744	0.22063	0.17153	0.2733	0.33688	0.26475	0.2331	0.19754	0.29029	0.18213	0.22731	0.24508	0.331	0.44996	0.02322	0.01907	0.03507	0.03099	0.04303	0.05585	0.03669	0.40576	0.52727	0.50171	0.54535	0.61703	0.46742	0.65862
k__Bacteria|p__Proteobacteria|c__CFGB8594	0.22391	0.27284	0.15492	0.12747	0.19276	0.13857	0.18543	0.38897	0.90907	0.7691	0.61369	0.81589	0.78228	0.63677	4.99686	6.09716	7.03294	5.26074	4.58536	5.13441	4.16621	2.41733	0.87989	2.98964	3.11656	3.29614	3.46184	3.96462	0.76296	0.89198	1.18558	0.84423	0.77392	2.01726	0.51846	0.27347	0.17157	0.17187	0.13961	0.17955	0.17707	0.16228	3.08214	2.45664	2.81502	2.83715	4.80361	2.61233	1.93494	1.10505	1.2461	0.84796	0.61748	0.64629	0.72628	0.67141
k__Bacteria|p__Bacteroidota|c__Cytophagia	0.22029	0.18716	0.21692	0.22385	0.08594	0.31985	0.37546	0.1376	0.38085	0.35239	0.31258	0.31942	0.35488	0.39106	0.14164	0.16541	0.12381	0.15359	0.17578	0.09711	0.18792	0.04543	0.02469	0.00952	0.04725	0.04173	0.05035	0.07099	0.15427	0.1055	0.21112	0.03987	0.09379	0.08896	0.13852	0.2951	0.18933	0.26133	0.20398	0.28278	0.2565	0.22714	0.05822	0.04876	0.08332	0.07322	0.09232	0.11531	0.05784	0.36041	0.41155	0.35646	0.33799	0.33963	0.41513	0.38716
k__Bacteria|p__Tenericutes|c__CFGB26692	0.14798	0.09587	0.11551	0.08326	0.05618	0.48406	0.63045	0.07647	0.19824	0.29423	0.31306	0.40965	0.41933	0.57666	0.00234	0.00655	0	0.00549	0.01511	0.01423	0.03143	0	0.00074	0	0	0	0	0	0.08997	0.11583	0.18264	0.07102	0.2241	0.16218	0.23677	0.02003	0.02784	0.02857	0.00685	0.03486	0.06851	0.1145	0	0.00139	0.00387	0.00343	0	0.01387	0.00549	0.11875	0.14009	0.16018	0.21104	0.22121	0.25194	0.29494
k__Bacteria|p__Bacteroidota|c__CFGB12545	0.13111	0.14144	0.12463	0.11023	0.12591	0.14452	0.1582	0.09008	0.24002	0.26724	0.23334	0.25519	0.21434	0.23957	0.78378	0.64968	0.5986	0.43211	0.39894	0.37368	0.5002	0.32729	0.05585	0.07281	0.17484	0.16894	0.19884	0.24413	0.09052	0.13984	0.17851	0.11427	0.14156	0.13549	0.08983	0.09809	0.08327	0.07936	0.0739	0.10114	0.10623	0.09419	0.5477	0.26903	0.36633	0.248	0.39133	0.36405	0.18298	0.25127	0.32833	0.28768	0.28396	0.23147	0.25254	0.23416
k__Bacteria|p__Actinobacteria|c__CFGB14951	0.10209	0.07457	0.06116	0.03397	0.06632	0.12053	0.16733	0.03282	0.12716	0.12639	0.0863	0.0933	0.12992	0.20652	0.01717	0.02473	0.02009	0.05649	0.08084	0.08359	0.09169	0.00336	0.00116	0.0035	0.01143	0.00857	0.03329	0.03495	0.05555	0.07658	0.0776	0.08257	0.08706	0.05785	0.05625	0.02849	0.04881	0.03025	0.00595	0.01844	0.04517	0.07635	0.01347	0.01358	0.03648	0.0349	0.01207	0.10104	0.07189	0.10526	0.15888	0.14358	0.11389	0.12682	0.17013	0.22421
k__Bacteria|p__Proteobacteria|c__CFGB14846	0.08673	0.08726	0.06785	0.06684	0.12275	0.0723	0.05806	0.04935	0.11735	0.102	0.1142	0.08994	0.08524	0.09766	0.11535	0.17367	0.16901	0.18599	0.20802	0.37231	0.46799	0.06828	0.61201	0.09446	0.10649	0.08367	0.16586	0.17921	0.07611	0.09173	0.10002	0.06354	0.11141	0.38739	0.04841	0.25151	0.23344	0.18279	0.21681	0.21296	0.19509	0.15526	0.05619	0.04684	0.04996	0.06526	0.11296	0.10168	0.0933	0.15937	0.11494	0.1055	0.14106	0.11513	0.09048	0.10228
